texto;classificacao
de acordo com a lei toda carga e considerada como patrimonio mesmo que presumidamente perdida apos acidentes sua apropriacao por populares e um crime previsto no codigo penal cp e quem compra produtos saqueados tambem comete crime ;0
grave acidente na br 020 no ceara resulta na morte de tres pessoas carbonizadas  ceara estradas acidente acidentedetransito upa caminhoneiros caminhoneiro;0
14h06    br 381   acidente grave em nova era no km 316 pista no sistema pare e siga;1
2330   em antonio dias br 381 km 295 tombamento de caminhao sem vitimas em atendimento pela prf na pista sentido vale do aco sem interdicao no local;1
0318 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
1700 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
1200 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
motorista fica gravemente ferido apos batida seguida de capotamento em candoi  g1 g1pr ;0
uma testemunha que ajudou no resgate acredita que o motorista do carro perdeu a visao da pista por causa da poeira no local  g1 acidente goias;0
sabemos que a rotina de caminhoneiros e agitada por isso trouxemos dicas de como cuidar do bem estar mesmo na estrada    dirija com postura adequada   faca caminhadas e alongamentos nas paradas   mantenha uma dieta balanceada   nao consuma alcool e drogas  estradasemacidentes ;0
dicascttu  se for acidente sem vitima tire o carro da via e faca o bo pelo link   transitorecife ;0
colisao envolvendo dois carros deixa uma pessoa ferida no interior  alagoas maceio noticias ;0
srs sobre a oco das 20h45 colisao entre auto e caminhao na av sen teotonio vilela na realidade  ;0
colisao entre auto e caminhao av sen teotonio vilela 2000 cid dutra prox a parelheiros de a  ;0
acidente entre carro e moto na av manoel elias 2279 no sent nortesul   eptc no local samu e briga  eptcpoa;0
acidente entre kombi e moto na av otto niemeyer 2380 no bairro tristeza   eptc e brigada militar no l  eptcpoa;0
atencao acidente entre 2 carros na r da conceicao prox ao numero 490 no acesso para a av albert  eptcpoa;0
atencao atropelamento por moto na av cavalhada prox ao cruz c a r stephan zweig no sent  eptcpoa;0
nova tragedia na br 316 no para mata mae e filho de 2 meses e deixa o pai ferido veja a materia  para estradas acidente sinistro prf;0
 transito e intenso natural do horario nos entroncamentos com a anhanguera em campinas d pedro i e jundiai joao cereser nao ha acidentes neste fim de tarde ;0
transito flui bem em praticamente todo o corredor dom pedro mesmo nos pontos em obras motorista reduz a velocidade somente no acesso a anhanguera pela joao cereser sp 360 local tem faixa interditada para implantacao de marginais tarde comeca ensolarada e sem acidentes ;0
 transito e carregado no trevo de barao geraldo para o motorista que vem de paulinia nao ha registro de acidentes apenas o excesso de veiculos no horario de pico manha e ensolarada em todo o corredor dom pedro ;0
 transito intenso em campinas reflexo do horario de pico mas nao ha registro de acidentes  motorista que segue pela rodovia joao cereser sp 360 em jundiai sentido anhanguera reduz a velocidade por conta das interdices de faixa para implantacao de marginais na regiao ;0
balanco do dia 19082021   010   acidentes  018   veiculos envolvidos  009   feridos  000   mortos  523   pessoas fiscalizadas  413   veiculos fiscalizados  402   notificaces de autuacao  008   pessoas detidas;0
balanco do dia 18082021   004   acidentes  005   veiculos envolvidos  006   feridos  000   mortos  436   pessoas fiscalizadas  411   veiculos fiscalizados  366   notificaces de autuacao  001   pessoas detidas;0
14h10   nunca assuma a direcao de um veiculo se estiver cansado evitar acidentes tambem e com voce mas se acontecer ligue pra gente 191  ;0
06h05   em serra km254 da br101 pista sentido norte interditada devido a acidente;1
acidente na br 282 no km 177 em bocaina do sul aumente a atencao ao transitar pelo local;1
1425 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
0847 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
0300 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
seguimos com trafego em meia pista no km 38 da br 277 sentido litoral para destombamento de um caminhao sem retences ate agora;1
as 10h esta prevista uma interdicao total no km 38 da br 277 sentido litoral regiao de morretes para destombamento de um caminhao na faixa de dominio a  ira acompanhar todo o processo;1
colisao entre motocicletas na faixa de pedestres deixa tres pessoas feridas  alagoas maceio noticias ;0
nas plataformas de estaces de trens ou do metro aguarde pelas composices atras da faixa amarela e ela que estabelece o limite da sua seguranca evite acidentes ;0
br324    km 608 simes filho local onde houve acidente finalizado devido o congestionamento gerado retencao de 12 kms sentido interior reduza a velocidade;1
atencao br324    km 608 simes filho rodovia interditada sentido interior devido acidente reduza a velocidade;1
acidente embudasartes sem vitima c veiculo av rotary prox ao cem jesuitas vindo a colidir sua p  ;0
taboaodaserra acidente c vitima obito no local estr kizaemon takeuti c av ibirama   ;0
bitucas jogadas na rodovia podem causar incendios e graves acidentes  em caso de emergencia entre em cont  dersp;0
atencao acidente entre 2 carros na av maua apos o cruz c a r chaves barcelos no centro his  eptcpoa;0
atencao acidente entre carro e moto na r guadalajara prox ao numero 671 no sent sulnorte   agen  eptcpoa;0
acidente entre carro e onibus no cruz das avenidas baltazar de oliveira garcia e sertorio no sent  eptcpoa;0
motorista bebado provoca acidente com morte na br 163 em mato grosso  estradas leiseca transporte prf;0
balanco do dia 22082021   007 acidentes  011 veiculos envolvidos  005 feridos  001 morto  203 pessoas fiscalizadas  181 veiculos fiscalizados  009 testes de alcoolemia  208 autos de infracao 016 veiculos recolhidos  001 veiculo recuperado 003 pessoas detidas;0
balanco do dia 21082021 006 acidentes 009 veiculos envolvidos 005 feridos 001 morto 288 pessoas fiscalizadas 253 veiculos fiscalizados 009 testes de alcoolemia 220 autos de infracao;0
balanco do dia 20082021 11    acidentes 15    veiculos envolvidos 11    feridos 01    morto 418  pessoas fiscalizadas 373 veiculos fiscalizados 16    testes de alcoolemia 460 autos de infracao 07   pessoas detidas;0
10h30   em ibiracu no km 220 da br 101 pista esta parcialmente interditada no sentido sul devido acidente nao ha vitimas prf no local;1
10h38   igarape br 381 km 5205 sentido a sp pista fechada para destombamento de caminhao acidentado;1
06h34   em conselheiro lafaietemg na br 040 km 640 interdicao previsao de liberacao em 30 min em virtude de acidente entre moto x onibus;1
acidente fatal por volta das 11h30 deste domingo 22 ocorreu uma saida de pista seguida de capotamento na sc 453 altura do km 42550 em tangara o condutor do fiatuno de 75 anos acabou perdendo a vida ;1
1001 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
galera a rodovia ayrton senna tem lentidao do km 22 ao km 20 no sentido de sao paulo devido acidente que bloqueia a faixa da direita demais trechos sob concessao  estao com trafego normal;0
pessoal no local esta sendo realizado o transbordo da carga que e a retirada dela do caminhao para colocar em outro esse processo precisa ser feito antes de iniciar o destombamento ;0
galera o trafego segue lento na rodovia ayrton senna do km 32 ao 29 no sentido de sao paulo devido ao tombamento de um caminhao o trafego flui apenas pelo acostamento ;0
voce sabia de acordo com o artigo 231 do codigo de transito e proibido transitar com o veiculo desligado ou desengrenado em declive cuide de sua seguranca e tambem da dos demais porumaestradasemacidentes eco050 br050 ;0
homem e preso em flagrante por agredir esposa dirigir embriagado e provocar acidente em maceio  alagoas maceio noticias ;0
depois de muito trabalho e esforco as entidades criaram uma planilha de acidentes que garante que os dados estatisticos sejam obtidos com mais exatidao ;0
portalcorreio mpt alerta que no brasil um trabalhador morre a cada tres horas vitima de acidente de trabalho  ;0
itapemirim desrespeita e ignora familia de passageira morta em acidente na br 101  via ;0
12 pessoas morrem em grave acidente na br 101 na bahia  acidente caminhoneiros estradas bahia prf;0
0700 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
2111br 277 campo largo proximo a charlotte paes sentido curitiba acidente com automovel faixa da esquerda bloqueada trafego lento no local km 107 1806 grupobr277 ;1
ciclista morre atropelado na br 277 e motorista foge do local diz prf  g1 g1pr ;0
homem morre apos acidente com decolagem de parapente em praia da paraiba g1 g1paraiba   ;0
homem morre apos acidente com decolagem de parapente em praia da paraiba g1 g1paraiba   ;0
segundo a prf antes de acidente que quase atropelou funcionario em novembro de 2021 motorista havia atropelado garcom em 2020 apos se irritar com bar fechado  g1 maringa;0
fluxo alto no sentido curitiba da br 277 sem retencao ou acidente;0
apenas em 2020 mais de 30 mil pessoas perderam suas vidas em acidentes de transito a eco050 trabalha para oferecer a voce o maximo de seguranca mas lembre se de atentar se as regras de transito e de tomar todos os cuidados necessarios eco050 ;0
repost   quem voce quer homenagear neste dia mundial em memoria das vitimas de acidentes de transito   transito senatran detran acidente carro moto ;0
de acordo com a prf a ultrapassagem irregular ocorreu exatamente no local onde ocorreu uma colisao frontal na semana passada provavelmente causada por ultrapassagem indevida que vitimou tres adultos e um bebe ;0
2300 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
apos fugir e capotar prf apreende mais de meia tonelada de maconha numa caminhonete em sao jose dos pinhais pr   o veiculo era roubado e estava com placas falsas um homem foi preso  saiba mais  ;0
em curitiba na br 476 km 1302 sentido sp linha verde na frente do hospital erasto gaertner 2 faixas interditadas em razao de acidente envolvendo auto x moto;1
14h25   em linhares km 137 da br 101 pista liberada nos dois sentidos nao houve feridos ;1
 informativo dnit  o dnit informa que a faixa esquerda da via marginal e a faixa direita da pista principal da br 101 serao  interditadas em pontos especificos ao longo do segmento das obras complementares e remanescentes da referida rodovia viaduto de ponta negra a pium;0
20h05   fluxo lento em ambos os sentidos do km 350 da br 381 em joao monlevade equipes trabalham em destombamento de carreta;1
atropelamento por volta das 10h desta quarta 25 foi registrado um acidente fatal na sc 412 km 0900 em itajai o condutor de uma honda biz de 64 anos se chocou contra pedra que estava no meio da rodovia e acabou atropelado por um veiculo que vinha no sentido contrario ;1
1700 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
1200 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
0700 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
0400 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
mulher e atropelada ao deixar bar em londrina motorista fugiu sem prestar socorro  g1 g1pr ;0
the way do trio americano fastball reconta historia de casal de idosos que se perdeu dirigindo e sofreu acidente assista gt  g1 musica fastball quandoeuhitei;0
atencao  km 17 da br 050 em araguari mg com interdicao de faixa 1 nos dois sentidos apos acidente;1
talvez voce ja tenha visto essa imagem com legendas diversas nas redes sociais talvez um furacao um grave acidente na verdade se trata de uma cena de um filme conheca a historia ;0
nao impeca o fechamento das portas do trem alem do risco de acidentes voce pode danificar equipamentos e atrasar a viagem de todos ;0
a aquaplanagem e uma situacao de perigo que foge ao controle do condutor siga estas instruces e diminua as chances de envolver se em um acidente ;0
br324 km 575   sao sebastiao do passe faixa da direita interditada sentido capital para retirada de material no local onde houve acidente mantenha distancia de seguranca e respeite a sinalizacao;1
br324 km 575   sao sebastiao do passe no local onde houve acidente rodovia totalmente liberada mantenha distancia de seguranca;1
br324 km 575500 sao sebastiao do passe acidente com rodovia interditada no sentido salvador para atendimento retencao de aprox 03km;1
srs as 22h03 recebemos chamado p colisao entre autoonibus av atlantica 660 cid dutra info  ;0
bitucas jogadas na rodovia podem causar incendios e graves acidentes  em caso de emergencia entre em cont  dersp;0
acidente entre carro e moto na av filadelfia x av cristovao colombo   eptc no local  eptcpoa;0
acidente entre carro e bicicleta na av ernesto neugebauer 2132 no bairro humaita   eptc e samu no loc  eptcpoa;0
atropelamento por carro na av ipiranga x av joao pessoa no sent bc   eptc samu guarda  eptcpoa;0
acidente entre 2 veiculos na av plinio brasil milano apos o cruz c a r pedro chaves barcelos  eptcpoa;0
acidente entre 2 carros no cruz das avenidas sociedade libanesa e alvarenga   agentes da eptc no  eptcpoa;0
acidente entre 2 carros na av otto niemeyer prox ao cruz c a praca comendador souza gomes   eptcpoa;0
 transito e intenso em dois pontos caracteristicos do corredor dom pedro entroncamento da d pedro i sp 065 com a anhanguera em campinas e no trecho final da rodovia joao cereser sp 360 em jundiai  nao ha acidentes neste fim de tarde ;0
transito e bom em todo o corredor dom pedro mesmo nos pontos com bloqueios para obras tarde comeca sem acidentes e com sol intenso ;0
 transito e lento somente na rodovia joao cereser sp 360 em jundiai proximo ao entroncamento com a anhanguera local tem interdicao da faixa da direita para implantacao de vias marginais  concessionaria nao registra acidentes nesta manha e tempo e estavel ;0
transito e lento no entroncamento da d pedro i sp 065 com a anhanguera em campinas reflexo do horario de pico de fim de tarde nao ha registro de acidentes no restante do corredor dom pedro transito flui bem neste fim de tarde ;0
 nosso objetivo principal e esclarecer as possiveis vitimas as testemunhas e aos criminosos que a importunacao sexual e crime desde 2018 e que essa conduta deve ser combatida e denunciada;0
balanco do dia 23082021   004 acidentes  007 veiculos envolvidos  002 feridos  002 morto  191 pessoas fiscalizadas  170 veiculos fiscalizados  008 testes de alcoolemia  263 autos de infracao 005 veiculos recolhidos  002 veiculo recuperado 002 pessoas detidas;0
0830   se beber nunca dirija evitar acidentes tambem e com voce mas se acontecer ligue pra gente 191  ;0
16h20   em pedro canario km 324 da br101 transito totalmente interditado para retirada de carreta acidentada acidente sem vitima previsao de liberacao em 20 minutos;1
17h49   br 381 km 487 sent sp ref fiat pista interditada devido a acidente;1
0353 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
2200 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
1719 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
tivemos uma colisao no viaduto do km 83 sentido litoral e o trafego esta em meia pista;0
as queimadas sao ilegais prejudicam o ar e podem causar danos irreparaveis ao meio ambiente perto de rodovias a fumaca pode atrapalhar os motoristas e causar acidentes seja consciente em caso de incendio proximo das rodovias ayrton senna e carvalho pinto ligue 0800 777 0070 ;0
o principal intuito das concessionarias foi o de capacitar seus colaboradores para o manejo e a remocao de animais silvestres na rodovia a fim de evitar acidentes e preservar a biodiversidade regional ;0
dicascttu  um aviso e um monte de acidentes evitados vai virar da a seta pra avisar seguranca em primeiro lugar ;0
atropelamento pela r rio verde 678  freguesia do o 03 vtrs  aguia 19 empenhadas 01 vtm grave   ;0
bitucas jogadas na rodovia podem causar incendios e graves acidentes  em caso de emergencia entre em cont  dersp;0
colisao carro x carro sent cb rotula da juca batista c serraria acidente colisao  ;0
atropelamento por onibus na av abrasil 3257   eptc no local samu e brigada militar em deslocament  eptcpoa;0
acidente entre 2 carros na r moura azevedo 308 no bairro sao geraldo   eptc no local  eptcpoa;0
acidente entre 2 carros na r santos dumont 1250 no bairro floresta   eptc e samu no local brigada  eptcpoa;0
motorista encontra transito tipico de fim de tarde em campinas e jundiai  nao ha registro de acidentes as obras que eram realizadas hoje ja foram encerradas rodovia joao cereser sp 360 no entanto tem trechos da faixa da direita bloqueada para implantacao de marginais ;0
transito e bom em praticamente todo o corredor dom pedro mesmo nos pontos em obras tarde comeca sem acidentes e com tempo estavel ;0
1131 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
repost   viu so como aces educativas contribuem para a reducao dos acidentes de transito o detran esta sempre trabalhando para que tenhamos um transito cada vez mais seguro   dirija com responsabilidade   detran seduh pernambuco desenvolvimento transito ;0
jovem fica ferido apos colisao entre dois carros na pajucara em maceio  alagoas maceio noticias ;0
a proposta e incentivar a pratica de habitos saudaveis direcao segura e bom comportamento no transito para a reducao de mortes e acidentes no pais ;0
o aumento na demanda foi provocado por um grave acidente na ponte rio niteroi;0
nossa fiscalizacao tambem acompanha o funcionamento do servico de barcas que registrou aumento de demanda na estacao arariboia em funcao de acidente na ponte rio niteroi na manha desta sexta feira 5 partidas extras estao sendo realizadas ;0
o movimento na rodovia rj 116 durante o feriadao de finados superou a estimativa da concessionaria rota 116 entre a sexta 29 e 12h da quarta feira 3 132 mil veiculos passaram pela via a previsao era de 120 mil no periodo foram registrados 8 acidentes com 6 vitimas ;0
balanco do dia 26092021  010 acidentes  017 veiculos envolvidos  010 feridos  007 mortos  334 pessoas fiscalizadas  296 veiculos fiscalizados  293 autos de infracao  016 veiculos retidos  002 pessoas detidas;0
balanco do dia 25092021  007 acidentes  010 veiculos envolvidos  005 feridos  002 morto  676 pessoas fiscalizadas  564 veiculos fiscalizados  316 autos de infracao  024 veiculos retidos  002 pessoas detidas 001 veiculos recuperados;0
09h30 em francisco sa km 469 da br 251 pista totalmente fechada devido a acidente tombamento de veiculo de carga com vitima no local;1
21h30   em bela vista de minasmg no km 348 da br 381 pista totalmente interditada em funcao de acidente equipes no local sem previsao de liberacao;1
flavio carneiro da cunha de 42 anos era mecanico e estaria alcoolizado no momento do acidente portalcorreio ;0
acidente aconteceu devido a uma pane em uma extensao eletrica cujo cabo estava desencapado portalcorreio ;0
motorista provoca acidente fatal na sc 418 em sao bento do sul no km 59300 da rodovia e foge sem prestar socorro as vitimas o condutor de uma motocicleta que vinha no sentido contrario acabou se chocando em um poste a passageira da moto de 19 anos acabou nao resistindo ;0
 acidente com obito e varias vitimas na sc 108 no km 40 da rodovia em guaramirim o condutor que causou o acidente estava alcoolizado e acabou detido o acidente ocorreu por volta das 19h30 deste domingo 26 ;0
 acidente fatal registrado na tarde deste domingo 26 na sc 412 em ilhota  foi uma colisao transversal no km 12100 da rodovia envolvendo duas motocicletas  uma mulher de 51 anos que estava na garupa de uma das motos acabou morrendo no local ;0
bombeiro no mangabeira shopping evita acidente com crianca na escadarolante ;0
0500 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
0000 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
1900 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
0758  atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
ciclista morre atropelada por caminhao em via marginal de acesso a br 277 em sao jose dos pinhais  g1 g1pr ;0
galera as faixas ja foram liberadas no km 113 da rodovia ayrton senna que estavam bloqueadas por conta de um acidente o trafego segue congestionado do km 24 ao 11 em direcao a capital paulista ;0
bom dia pessoal a rodovia ayrton senna tem trafego lento do km 24 ao km 11 na chegada a sao paulo devido acidente que bloqueia duas faixas em direcao ao interior o trafego esta normal;0
a pratica da direcao defensiva pelos ciclistas esta relacionada a aces simples nessa postagem e na proxima vamos listar as principais atitudes que os ciclistas devem adotar para diminuir a chance de se envolver em acidentes  dicas de direcao defensiva para ciclistas  pa ;0
acidente foi registrado em sao jose dos pinhais ;0
motociclista fica ferido apos colisao com camionete no agreste de alagoas  alagoas maceio noticias ;0
br116   km 464 santo estevao sentido feira de santana atendimento ao acidente finalizado;0
br116   km 729 boa nova atendimento ao acidente finalizado rodovia totalmente liberada para trafego;0
br116   km 464 santo estevao sentido feira de santana com  trafego lento devido a acidente respeite a sinalizacao;1
br116   km 729 boa nova com sinalizacao de pare siga devido a acidente mantenha distancia de seguranca;1
br324 km 616 salvador   no local onde houve acidente a rodovia encontra se totalmente liberada trafego segue lento na passagem respeite os limites de velocidade e mantenha distancia de seguranca;1
atencao br324 km 616 salvador   acidente sentindo capital trafego fluindo pela faixa da esquerda com lentidao na passagem respeite a sinalizacao e mantenha distancia de seguranca;1
entidades realizam levantamento estatistico inedito sobre  acidentes com produtos perigosos truckbrasil jr1  logistica;0
policia rodoviaria multa motoristas bebados na br 116 no rio grande do sul  motorista caminhoneiros caminhoneiro acidente leiseca riograndedosul prf;0
prf lanca relatorio sobre atividades na ultima decada  prf estradas governo acidente acidentedetransito caminhoneiro caminhoneiros;0
onibus que se envolveu em acidente em mg tem 35 evases de pedagio so na via dutra br 116  onibus caminhoneiros caminhoneiro acidente acidentedetransito estradas minasgerais;0
acidente entre carreta onibus e van deixa ao menos 12 mortos no sul da bahia recordnews ;0
acidente entre carros deixa um morto e quatro criancasferidas ;0
transito e bom na maior parte do corredor dom pedro nao ha acidentes e tempo e estavel  sao dois pontos com trafego mais carregado chegada ao trevo de barao geraldo em campinas para quem vem de paulinia pela prof zeferino vaz e trecho final da joao cereser em jundiai ;0
1200 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
0700 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
0500 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
2908 pr 418 contorno norte curitiba proximo ao trevo do club orleans  acidente com dois automoveis sentido almirante tamandare pista temporariamente bloqueada em atendimento pelos bombeiros 1354 grupobr277 ;0
br 277 campo largo km 117  proximo ao acesso da fabrica caterpillar  acidente com automovel sentido curitiba ccr rodonorte no local 2012 grupobr277;1
2708pr 418 contorno norte trafego lento ambos sentidos proximo ao viaduto newton laporte butiatuvinha colisao caminhao x moto siate  helicoptero bpmoa e medico acionados vitima grave 1600 grupobr277 ;0
2608br 376 contorno sul curitiba km 592 proximo a fabrica volvo cic acidente com automoveis um veiculo capotado no canteiro central trafego lento ambos sentidos 1119 grupobr277 ;1
ao menor sinal de fumaca ligue 0800 940 0700 ou 193 sua ajuda e valiosa e pode salvar vidas alguma dica para os motoristas   porumaestradasemacidentes somoseco bombeirosmg bombeirosgo cbmgo ;0
 atencao  interdicao nas faixas 1 e 2 com fluxo fluindo pelo acostamento no km 100 sentido norte da br 050 em uberlandia mg devido a acidente equipes da concessionaria no local;1
 atencao  interdicao total no km 94 norte da br 050 em uberlandia mg para destombamento de carreta concessionaria com equipes no local;1
 atencao  interdicao na faixa de rolamento da esquerda no km 20 norte do contorno de uberlandia devido a acidente concessionaria com equipes no local;0
nos trens ou no metro nao force a abertura ou tente impedir o fechamento das portas alem do risco de acidentes voce pode danificar equipamentos e provocar a retirada de uma composicao de operacao ;0
trecho de atibaia da rodovia d pedro i sp 065 tem lentidao neste inicio de tarde pista sentido jacarei tem interdicao de faixa para obras no km 86 no restante do corredor dom pedro transito flui bem mesmo nos pontos em obras nao ha acidentes e o tempo e estavel ;0
transito flui bem mesmo nos pontos em obras  tempo e encoberto em alguns pontos do corredor dom pedro mas nao chove tambem nao ha acidentes ;0
transito e intenso em campinas tipico do fim de tarde nao ha registro de acidentes   sao dois pontos com excesso de veiculos entroncamento da d pedro i sp 065 com a anhanguera e no trevo de barao geraldo para quem vem de paulinia pela prof zeferino vaz sp 332 ;0
obras que sao realizadas hoje nao causam reflexos no transito que flui bem em todo o corredor dom pedro tarde comeca ensolarada e sem registro de acidentes    prof zeferino vaz km 122 paulinia bloqueio na pista sentido campinas ;0
 trecho de atibaia da d pedro i tem lentidao neste inicio de tarde pista sentido jacarei tem interdicao de faixa no km 86 para obras de recuperacao do pavimento no restante do trecho transito flui bem mesmo nos pontos com bloqueiosnao ha acidentes e tempo segue estavel ;0
balanco do dia 29092021  011 acidentes  022 veiculos envolvidos  03 feridos  01 mortos  445 pessoas fiscalizadas  455 veiculos fiscalizados  362 autos de infracao  018 veiculos retidos 003 pessoas detidas;0
balanco do dia 28092021  009 acidentes  014 veiculos envolvidos  008 feridos  000 mortos  548 pessoas fiscalizadas  450 veiculos fiscalizados  353 autos de infracao  007 veiculos retidos;0
balanco do dia 27092021   006 acidentes  009 veiculos envolvidos  006 feridos  406 pessoas fiscalizadas  361 veiculos fiscalizados  365 autos de infracao  021 veiculos recolhidos  003 pessoas detidas;0
10h00   em mimoso do sul no km 460 da br 101 pista continua parcialmente interditada carreta carregada com carga de mamao que seguia no sentido sul tombou interditando 01 faixa no sentido norte  transito esta fluindo nos dois sentidos por desvio ;1
08h20   em mimoso do sul no km 460 da br 101 pista parcialmente interditada no sentido rio  de janeiro    vitoria  devido tombamento de carreta pedimos atencao aos condutores que trafegam pela localidade;1
17h40   no momento nao ha acidentes relevantes ou obras nas rodovias federias que cortam o espirito santo  boa viagem;0
16h20   boa tarde respeite o limite de velocidade e so ultrapasse em locais permitidos evitar acidentes tambem e com voce mas se acontecer ligue pra gente 191  ;0
em piripiripi apos envolve se em acidente condutor e preso pela prf na br 343 ao ser detectado o indice de embriaguez 22 vezes maior que o permitido ;0
8h47    br381 fila do km 4772 ao km 4822 entre contagem e betim sentido belo horizonte devido acidente fora do trecho de concessao  ;1
0121h   em tres coracesmg na br 381 km 743 ocorreu uma interdicao total da pista sentido sp sem opcao de desvio e sem previsao de liberacao em virtude de tombamento de cegonha carregada com 01 vitima de leses leves ha um congestionamento de 1km no local;1
 importante destacar que continua proibido usar o celular enquanto se conduz algum veiculo mesmo que seja pra filmar um acidente o proposito da exibicao ja que o video circulava pelas redes e apenas alertar como acontecem a maioria dos acidentes;0
atencao  acidente  no km  60 da  br 101 em araquarisc no sentido sul  deixa  transito lento no local dirija  com atencao;1
